text	en	de	rule	toxic
Es ist wie mit Corona. Argumente zählen nicht mehr und Wissenschaft ist böse. In den USA greift der Wahnsinn in Form von Evangelikalen um sich, bei uns nennen sich die Realitätsverweigerer nur anders.	OTHER	OFFENSE	OTHER	OFFENSE
[USER] Die Entwicklungen in den USA sind für uns alle evident, nicht nur für uns deutsche Bürger. Trump's Verhalten stärkt nicht nur in den USA die rechten Ränder, sondern auch bei uns. Deutschland/Europa muss aufpassen, nicht zu sehr in diesen Sog gezogen zu werden. Unsere Regierungen müssen sich klar gegen die Politik Trumps wenden, wenn es um die Zukunft der NATO und der UN geht. Trump steht für Rassismus, Klassenkampf, Frauenfeindlichkeit, Homophobie und Umweltverschmutzung. All das geht letztendlich auch mich an.	OFFENSE	OTHER	OTHER	OTHER
"""[USER] Soviel ich weiß, hat die SED und ihre Nachfolgeorganisation PDS heute """"die Linke"""" Gerichtsfest festgestellt unter und mit Gysi als Vorsitzender,damals hunderte von Millionen DM """"Parteivermögen"""" verschoben. Ist mir jetzt zu langweilig und doof all die Berichte und Artikel heraus zu suchen für dich. Wer das nicht weiß, verweigert sich einfach der Realität."""	OTHER	OTHER	OTHER	OFFENSE
[USER] und was ist Ihre Lösung :nbeschwertes_Gesich: ein e auto kann immerhin einen Kreislauf erzeugen und co2 neutral fahren :enkendes_Gesich: Mit dem Rest sind wir im Einklang	OTHER	OTHER	OTHER	OTHER
[USER] :ee-no-Evil-Aff:	OTHER	OTHER	OTHER	OTHER
Die US-Wahlen 2020 Das Horoskop des Präsidentschaftskandidaten And the winner is - Joe Biden Wahlforscher, lasst uns doch nicht länger leiden ins Amt kommt bitteschön Joe Biden! Selten war das Ergebnis der Auseinandersetzung um die Präsidentschaft der Vereinigten Staaten so eindeutig vorhersehbar wie 2020 jedenfalls aus kosmischer Sicht. Obgleich sich der demokratische Herausforderer während des gesamten Wahljahres nicht unbedingt gemocht fühlt, ja sogar einsam und melancholisch, so hat er dennoch einen Trumpf in der Hand, der in der Öffentlichkeit sticht: er hat die seriöseren, die glaubwürdigeren, vor allem die verlässlicheren Argumente! Und die werden zunehmend den Ausschlag geben. Joe Biden wird ab dem 10. Oktober bis zum Wahltag immer mehr argumentative Punkte sammeln. Zudem bietet sein Horoskop eine Projektionsfläche, die kollektive Sehnsüchte anzieht wie duftender Lavendel die Bienen. Selbst, wenn diese Wünsche anschließend nicht alle erfüllt werden. Diese Konstellation ähnelt der des Wahlkämpfers Helmut Kohl, der im Juli 1990 von den blühenden Landschaften im Osten schwärmte. Es ist, als sehnte sich die Mehrheit der Amerikaner nach der Ära eines missratenen Republikaners wieder nach einem Heilsbringer, nach einem Präsidenten, der für alle da ist. Die Bevölkerung spürt, das da wirklich einer ist, der den Vereinigten Staaten dienen will. Und das gibt definitiv am Dienstag, dem 03. November, den Ausschlag! :rheberrechte_: Jörg Vos, 28.09.2020	OFFENSE	OTHER	OTHER	OFFENSE
Nee nee was für ein Gelaber! Sorry - das brauch ich nicht für meine Gebühren! Was wirklich wichtig ist weiß die junge Frau nicht! Stereotype einfach nachplappert! So schaut's aus! Zefix!	OTHER	OFFENSE	OTHER	OFFENSE
[USER] Das ist kein Antiamerikanismus, sondern eine historisch sehr ausdifferenzierte Betrachtungsweise.	OTHER	OTHER	OTHER	OTHER
[USER] solch sinnfreie Beiträge...:rau_Facepalmin::rau_Facepalmin::rau_Facepalmin:	OTHER	OTHER	OTHER	OFFENSE
[USER] woher wissen Sie das? Glauben heißt nicht Wissen :erd_Gesich:	OTHER	OTHER	OTHER	OTHER
[USER] Da ist wie gegen Windmühlen kämpfen	OTHER	OTHER	OTHER	OTHER
"""Trump ist ein pathologischer Lügner. Diese Krankheit heißt: """"Pseudologia phantastica"""". Häufiger wird heute der Begriff pathologisches Lügen verwendet. Eine besondere Form der Pseudologia phantastica stellt das Münchhausen-Syndrom dar, bei dem der Patient körperliche Beschwerden erfindet und durch Lügen untermauert, um Aufmerksamkeit zu bekommen. In der modernen psychiatrischen Klassifikation wird diese Störung unter """"andere Persönlichkeits- und Verhaltensstörungen/artifizielle Störung"""" (ICD-10: F68.1) eingeordnet."""	OFFENSE	OTHER	OTHER	OFFENSE
[USER] paint it red	OTHER	OTHER	OTHER	OTHER
[USER] Kindern schon :winkert_Gesich:	OTHER	OTHER	OTHER	OTHER
Die Baerbock hat schon oft bewiesen, dass sie nicht gerade die hellste Kerze auf der Torte ist. Sie hat nur Kobolde im Kopf	OFFENSE	OFFENSE	OTHER	OFFENSE
[USER] so verschieden sind Meinungen. Ich finde es super immer wieder wochenaktuelle Expertenmeinungen mitzubekommen. Wir erlangen ständig neue Erkenntnisse zum Thema Corona und die Situation im Land für Bevölkerung und Industrie ändert sich doch auch stetig... da ist es doch gut immer wieder über dieses aktuelle Thema informiert zu werden.	OTHER	OTHER	OTHER	OTHER
Ach ja... alles doch so einfach... für 2 Cent mehr CO2 neutral tanken :atze_mit_Freudenträne:	OTHER	OTHER	OTHER	OFFENSE
Warum wurde vorhin das Thema der Subventionen so schnell unter den Tisch fallen gelassen? Die 50Mrd kann man definitiv in den Umweltschutz einbringen, SUVs als Dienstautos muss man nicht finanzieren!	OTHER	OTHER	OTHER	OTHER
Sie wissen schon dass dies in der Konsequenz vielen Menschen die sich schutzlos infizieren das Leben kosten wird ?	OTHER	OTHER	OTHER	OTHER
[USER] nichts...wenn wir schnell unsere Energiepolitik ändern. Genau damit hat sich unter anderem das Fraunhofer Institut beschäftigt.	OTHER	OTHER	OTHER	OTHER
[USER] , wir haben verzichtet und das ist gut so. Auf dem Bauernhof meiner Eltern leben heute Polen, die von Stalin aus Galizien vertrieben worden sind. Und wir sind mit diesen polnischen Opfern des Weltkrieges gut befreundet.	OTHER	OTHER	OTHER	OTHER
Aus humanitären Gründen vielleicht?	OTHER	OTHER	OTHER	OTHER
Dummes Geschwätz. Er sitzt alle Dumnscheätzer aus. Zu Recht	OFFENSE	OFFENSE	OTHER	OFFENSE
Meine Güte redet die Dame Quatsch! Frauen sind also Feiglinge und Männer zu dumm . Aha	OFFENSE	OFFENSE	OFFENSE	OFFENSE
Die finden immer wieder einige Verräter :ollend_auf_dem_Boden_lachen::ollend_auf_dem_Boden_lachen::ollend_auf_dem_Boden_lachen:	OTHER	OFFENSE	OTHER	OFFENSE
Erneut haben Zehntausende Menschen in der belarussischen Hauptstadt Minsk gegen Präsident Alexander Lukaschenko demonstriert. Ohne Masken oder Sicherheitsabstand. Und das schon seit Wochen. Die Corona Fallzahlen steigen aber nicht. Wenn Demos in Deutschland gegen die Corona Maßnahmen stattfinden, wird Nazi oder Verschwörung gerufen und Abstand oder fehlende Masken angemahnt. Die selben Kritiker feiern die Demos ohne Sicherheitsmaßnahmen von Belarus als ein MUSS. Alles LUG und BETRUG.	OFFENSE	OTHER	OTHER	OFFENSE
Wir sollten den Klimawandel nicht nur über den Zeitraum der letzten 200 Jahre betrachten, sondern viel länger zurück gehen. Dann würden wir feststellen, dass sich das Klima in den letzten Jahrmillionen immer wieder zum Teil drastisch geändert, obwohl es nur wenige Humanoiden gab und die Industrialisierung noch mehrer Millionen Jahre in der Zukunft lag. Der Aktionsmus, der seit Fukushima stattfindet ist geradezu absurd. Klimaschutz beginnt bei jedem persönlich zuhause und im Alltagsverhalten. Zudem müsste es für gewerbliche Energieverschwender endlich mal Konsequenzen geben. Ein Energieaudit ohne Folgen ist politischer Schwachsinn, wie sovieles was im Zusammenhang mit Klimaschutzmaßnahmen im blinden Aktionsmus endet. Ich habe vor über 20 Jahren für die Firma ista-Energie-Controlling gearbeitet. Leider wurde unsere Arbeit belächelt und aufgrund nicht vorhandener Notwendigkeit und staatlicher Unterstützung eingestellt.	OTHER	OTHER	OTHER	OTHER
Wenn ein ausgefallener Abiball das größte Drama ist......	OTHER	OTHER	OTHER	OTHER
[USER] - hab ich doch schon vorher gesagt und gar nicht eingeschaltet. Bei diesem Typ kommt nichts anderes raus, der ist doch nur das Echo von tRump.	OTHER	OTHER	OTHER	OTHER
Sie durfte / konnte leider nicht so viel sagen.. Lag am Weinberg:winkert_Gesich:.. Hat auch einen super tollen Akzent sehr sympathisch :iegeshan:	OFFENSE	OTHER	OTHER	OTHER
[USER] Ändert das etwas am Inhalt meines Kommentars?	OTHER	OTHER	OTHER	OTHER
[USER], sie merken nicht mal wie sie manipuliert werden...	OTHER	OTHER	OTHER	OFFENSE
[USER] Auf was beziehen sie ihren Beitrag? Ich meine, ich habe Merkel nicht erwähnt, ich habe keine anderen Politiker oder deren Parteien in Deutschland erwähnt, ich Urteile hier nicht über Amerika...:ann_zuckt_die_Achsel: Irgendwie ist ihr Beitrag komplett aus der Luft gerissen! Und ja, es gibt auch Leute, die radikal Merkels Meinung vertreten und eine andere nicht zulassen... was Mutti Merkel macht und sagt, ist richtig, obwohl es nicht richtig ist. Auch diese Leute gibt's, wenn sie das hören wollten...:ann_kippt_Hand_hellen_Hautto::ann_zuckt_die_Achsel:	OFFENSE	OFFENSE	OTHER	OFFENSE
Du verweigerst die Realität das der PDS Milliarden beschlagnahmt wurden.	OTHER	OTHER	OTHER	OTHER
[USER] völlig richtig - und die Rücksicht, die wir auf einander nehmen, tut unserer Gesellschaft gut, auch wenn andere das wenig interessiert	OTHER	OTHER	OTHER	OTHER
[USER] welcher amerikanische Präsident war in KEINEN Krieg verwickelt?	OTHER	OTHER	OTHER	OFFENSE
[USER] Das * steht für Divers..also das dritte Geschlecht.	OTHER	OTHER	OTHER	OTHER
[USER] Sie sind Hellseher?	OTHER	OTHER	OTHER	OFFENSE
Also meine Kinder haben mehr darunter gelitten als ich und meine Frau. Am anfang vom Lockdown 3 Monate keine Schule, schwimmen, Spielplatz keine Freunde treffen, keine Familien treffen. Das wahr für die einfach nur Horror.	OTHER	OTHER	OTHER	OTHER
[USER] sie haben sowas von recht. Und was dabei heraus kommt, sehen wir jeden Tag in den Medien.	OTHER	OTHER	OTHER	OTHER
[USER] Sie?	OTHER	OTHER	OTHER	OTHER
[USER]...äh, Verzeihung! Fangen Sie doch einfach mal bei sich selbst, mit Ihren unnützen Motorrädern, an!	OTHER	OFFENSE	OTHER	OTHER
[USER] , es kommt sicher auch auf die Wahl in den USA an. Mit Trump als Präsident kann sich Putin mehr erlauben. Dann juckt es ihn natürlich nicht,was Europa sagt. Wenn der komplette Westen Sanktionen verhängt, sieht es wohl anders aus.	OFFENSE	OTHER	OTHER	OTHER
"""[USER] dann lesen Sie einfach noch einmal, was Sie geschrieben haben. """"Wenn sich Kinder reicher Eltern..."""". Und Sie schreiben, ihre Cousine sei Luisa Neubauer. Aber die Frage nach Ihren Eltern können Sie nicht beantworten. Und ich habe Ihnen nicht unterstellt, Sie hätten etwas über ihre Leistungen oder die der Eltern geschrieben. Also nochmal, wer sind ihre reichen Eltern?"""	OTHER	OTHER	OTHER	OTHER
[USER] nur weil du zu faul zum selber suchen bist? :ee-no-Evil-Aff: :esicht_mit_Freudenträne:	OFFENSE	OFFENSE	OTHER	OFFENSE
[USER] wer sind denn die reichen Eltern?	OTHER	OTHER	OTHER	OTHER
"""Bevor ich mir von jemanden das Leben erklären lasse, der glaubt man könne als Schüler """"streiken"""", schaue ich lieber 1h Testbild:chmollendes_Gesich:"""	OTHER	OTHER	OTHER	OTHER
Das Format [USER] gehört abgeschafft. - KOMPLETT.	OTHER	OTHER	OTHER	OFFENSE
"""[USER] Sie haben also Beweise, dass die Russen so dumm sind, dass sie einen bekannten Oppositionellen mit einem russischen Gift """"anfixen"""" (er überlebt es), ihn dann nach Russland einfliegen, um ihn zu """"behandeln"""" (er überlebt es) und ihn dann in die Hände der deutschen Russlandfeinde geben, damit diese eindeutig das Gift feststellen können? Da bekommt man ja schon beim Hören und Lesen einen hochroten Kopf vom Fremdschämen!"""	OTHER	OFFENSE	OFFENSE	OFFENSE
[USER] danke für die Info. Aber ist es nicht so , dass alles bisherige was die Herren Lauterbach u Drosten usw von sich gaben u geben spekulativ u geschätzt ist und Gottseidank nichts davon so eingetroffen ist . Trotzdem dürfen sie weiter ihre Spekulationen öffentlich von sich geben. Laden Sie doch mal zb einen Prof Bhakdi ein u.lassen Sie Leute wie ihn Rede u Antwort stehen. Da hätten sie unglaubliche Einschaltquoten!!! Und nicht nur einseitige spekulative Redner...	OFFENSE	OFFENSE	OTHER	OFFENSE
Es gab in der Erdgeschichte auch Zeiten ohne Eis an den Polkappen	OTHER	OTHER	OTHER	OTHER
Es wird überall immer wieder viel zu lange diskutiert und Schuld hin und her geschoben. Was in Deutschland passiert ist auf jeden Fall wichtig, Europa ist auch wichtig. Aber es muss sich auch in allen anderen Ländern und Regionen weltweit etwas passieren und ändern, wenn man das weltweite Klima beeinflussen will.	OTHER	OTHER	OTHER	OTHER
War ein sehr interessante Diskussion gestern Abend!! :aumen_hoch_heller_Hautto: Die Spannung steigt!!	OTHER	OTHER	OTHER	OTHER
[USER] 1950er? eher 1650. Ein immer größerer Teil der US-Gesellschaft ist hinter die Aufklärung zurück gefallen und kommt mit ihrem Rassismus und ihrer Bigotterie daher, als sei sie gerade erst von Bord der Mayflower gestiegen.	OTHER	OTHER	OTHER	OFFENSE
Sie hat Recht und die Kritik ist, mit Blick auf den Stand der Wissenschaft und den Stand der Politik, absolut angebracht. Es passiert nichts. Wir müssen die Gesetze ändern, damit sich die Unternehmen ändern. Von allein machen die das nämlich nur sehr sehr träge.	OTHER	OTHER	OTHER	OTHER
Das ist so als wenn man zum Arzt geht und sagt ich habe mir das Bein gebrochen und der Arzt dann antwortet: Menschen haben AIDS! Ja, das stimmt, aber das macht ja mein Bein nicht besser (zitat Moritz Neumeier)	OTHER	OTHER	OTHER	OTHER
[USER] Wind, Wasser, Sonne, Kuhdung, Straßenbau etc Sie reden und schreiben ja auch nur und haben nichts zu sagen.	OTHER	OTHER	OTHER	OFFENSE
Oh....die Frau hat eine Glaskugel ? Ist ja interessant.	OTHER	OTHER	OTHER	OFFENSE
[USER] Ähnluches vermute ich auch. Kein Land der Welt würde jemals diese exorbitant hohen Schulden begleichen können.	OTHER	OTHER	OTHER	OTHER
Niemanden in den USA interessiert es, was irgendwer in Deutschland über die Wahl redet. Worin liegt für mich der Mehrwert dieser Sendung ?	OTHER	OTHER	OTHER	OFFENSE
[USER], dazu kann ich nicht mehr viel sagen, oder? [URL]	OTHER	OTHER	OTHER	OTHER
"""Für Europa wird sich nichts ändern, die alten Männer und die Sümpfe hinter ihnen wird die """"America First"""" Politik fortführen. Europa sollte endlich zusammenrücken und mit einer demokratisch gewählten Stimme auftreten!"""	OTHER	OFFENSE	OTHER	OTHER
[USER] wieso nicht? Ich zahle Gebühren.	OTHER	OTHER	OTHER	OTHER
[USER] schau dir deren Werdegang / Lebenslauf an....dann darfst dich wieder melden.	OTHER	OTHER	OTHER	OTHER
[USER] Blödsinn. Das hat etwas mit Anstand zu tun.	OTHER	OTHER	OTHER	OTHER
[USER] es gibt halt leider in jeder Altersgruppe asoziale Mitmenschen.	OTHER	OTHER	OTHER	OTHER
[USER] sowas liest man gerne und mit Interesse, gell? Hebt sich wohltuend ab von den meisten Ausführungen. :ächelndes_Gesicht_mit_Herze::ächelndes_Gesicht_mit_lächelnden_Auge:	OTHER	OTHER	OTHER	OTHER
[USER] es wird keine andere Meinung zugelassen	OTHER	OTHER	OTHER	OFFENSE
[USER] aha	OTHER	OTHER	OTHER	OTHER
[USER] Spekulativ, unfundiert, frustgeschwängert und auch noch ohne jedwede Erwähnung der Alternative, die Biden gegenüber steht...aah Facebook, right.	OTHER	OTHER	OTHER	OFFENSE
[USER] ich habe lange gesucht. Aber sie haben recht. Das ist die Nachricht hinter der Nachricht. Da habe ich schon vergeblich nach gesucht. Da dürfen wir wieder irgendetwas hinnehmen und dann kommt sofort wieder so eine unsinnige Kampagne gegen das Impfen	OTHER	OTHER	OTHER	OTHER
Frau Professor...die Zahl der noch Zweifelnden ist ganz klein.... ja genau.	OTHER	OTHER	OTHER	OTHER
[USER] Sehr gut!!:aumen_hoc::aumen_hoc:	OTHER	OTHER	OTHER	OTHER
[USER] ich höre immer wenn es um Kirche und glauben geht. Danke für ihren Kommentar. Sind es für sie zu wenig Leute die hinter der Religion stehen. Bei dem Thema. Dann alles Gute.	OTHER	OTHER	OTHER	OTHER
Österreich macht es vor! Ich wünsche mir eine solche Talk Gruppe im ARD und ZDF: [URL] Außerdem wünsche ich, dass auch unsere Gesundheitsbehörden mal endlich die Wahrheit sprechen: [URL]	OTHER	OTHER	OFFENSE	OTHER
[USER] Das zeigt mal wieder ein ganz intelligenten Beitrag	OTHER	OTHER	OTHER	OFFENSE
Die Frage ist ja nicht welche Meinung man teilt. Egal ob Trump oder Biden verlieren wird wieder die Unterschicht..	OTHER	OTHER	OTHER	OFFENSE
Trolle...	OTHER	OTHER	OTHER	OFFENSE
"""Liebe Freunde, der Mordversuch an Nawalny ist ein unentschuldbares Verbrechen. Die Forderung nach Aufklärung ist daher berechtigt. Auch ich protestiere und fordere Aufklärung. Echte Aufklärung, keine Vorverurteilungen. 1. Wenn Putin Nawalny töten wollte, warum erlaubte er dann ausdrücklich, dass Nawalny zur medizinischen Rettung nach Deutschland ausgeflogen wurde? 2. Warum sollte Putin für """"geheime"""" Ermordungen seltsamerweise immer wieder das gleiche Gift einsetzen, das immer sofort mit Russland in Verbindung gebracht wird? 3. Warum wird bei uns immer der Eindruck erweckt, nur Russland verfüge über den Kampfstoff Nowitschok, obwohl der Mitentwickler dieses Giftes inzwischen in den USA lebt und - laut Financial Times - sogar Ex-Wirecard-Boss Marsalek im Besitz der Rezept-Formel war und diese 2018 stolz in London herumzeigte? 4. Warum werden die Forderungen, man müsste jetzt das Nord Stream 2-Projekt mit Russland beenden immer lauter, obwohl es noch keinerlei Klarheit im Fall Nawalny gibt? Hat Deutschland den Nord Stream-Deal nicht auch im deutschen Interesse abgeschlossen? Das war doch kein Geschenk an Russland. Bestrafen wir uns demnächst selbst? 5. Soll Deutschland jetzt wirklich auch noch auf russisches Erdgas verzichten, nachdem es 2023 als einziges Land der Welt gleichzeitig aus Atom und Kohle aussteigen wird? Um stattdessen amerikanisches Fracking zu kaufen? Nach dem Motto: Lieber noch mehr Umweltzerstörung, als Gas aus Russland? 6. Was ist mit unseren moralischen Prinzipien, wenn es um unseren Pkw-Sprit geht? Der saudische Knochensägenmord an Khashoggi hat uns nicht dran gehindert, weiterhin Energiegeschäfte mit den Saudis zu machen. Nawalny lebt, Khashoggi ist tot. Zerstückelt, irgendwo verscharrt. Moral? 7. Warum protestiert die Bundesregierung nie, wenn US-Präsidenten (persönlich) fast regelmäßig in Somalia, Jemen usw. Zivilpersonen durch Drohnen hinrichten lassen? Mitsamt Familien und Kindern. Ohne Gerichtsurteil. Sind über Ramstein gesteuerte US-Morde gute Morde? Wenn es um Russland geht, ist die deutsche Politik ein aufgeregt gackernder Hühnerhaufen. So löst die Bundesregierung kein Problem. Euer JT"""	OTHER	OTHER	OTHER	OTHER
[USER] Deine Wahrnehmung spielt Dir einen Streich.	OTHER	OTHER	OTHER	OTHER
[USER] Sie sind vielleicht nicht Politiker, aber auch Sie können Vorschläge machen und Frau Baerbock hat schon mehr als einmal Vorschläge gemacht. Sie ist aber nicht in einer Regierungspartei, sonst hätten wir viel mehr Windräder in Deutschland.	OTHER	OTHER	OTHER	OTHER
[USER] Das ändert NICHTS an der Diskussion. :winkert_Gesich:	OTHER	OTHER	OTHER	OTHER
[USER]: Und Sie so?	OTHER	OTHER	OTHER	OTHER
Es geht nicht nur um die Bundesliga sondern um viele tausend kleine Vereine in Deutschland in vielen Sportarten die von ihren Zuschauereinnahmen abhängig sind.	OTHER	OTHER	OTHER	OTHER
