text	en	de	rule	label	task_2
When you click the Game trend thinking is gonna be a dick pic and the nigga is just working.   Don’t nobody care Jayceon , SLANG IT!!!!	OFFENSE	OFFENSE	OFFENSE	OFFENSE	PRFN
If I go 30 more minutes without some Samsung Virtual assistant pussy Iâm gone fold ð¯ https://t.co/t5lOT22eFz	OFFENSE	OTHER	OTHER	OTHER	NONE
@mePankajBhaskar @derekobrienmp Hey #AndhBhakt your supremo #ResignModi preferred dancing in elections to visiting hospitals. No oxygen, no beds, no ventilators just elections... that turned the nation into graveyard. Shame #ResignPMmodi , Didi o didi #	OFFENSE	OTHER	OFFENSE	OFFENSE	HATE
@MattHancock This may all be true. But... What did you do to piss off big Dom?	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
Sad reality of Indian news channels. A minute by minute coverage of elections while a common man struggles to find #covid treatment essentials. Useless News channels. #COVIDSecondWaveInIndia #CoronaPandemic #IndiaCovidCrisis #COVID19India #IndiaChoked #aajtak #zeenews #ABPnews	OTHER	OTHER	OTHER	OFFENSE	HATE
glad I prefer Dutch beer to Italian beer anyway. Cunt.	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
"@OkamotoSan @XIA0SVIA @kobrastarships @IzzieNai @klancezstarz ""gatekeeper"" say that to my face, fucker. SAY THAT TO MY FACE, INSTEAD OF BLOCKING ME, COME ON."	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
@BBCNews We're scraping the barrel on this thread. Must be the early evening tweeting session before going down the pub to shag each other. Some using Putin to back up their ignorance, and others who don't get enough intelligent news to know why we need t	OFFENSE	OTHER	OTHER	OFFENSE	PRFN
Drop it , shameless bully wood creatures .. run some awareness drive about #wuhanvirus /COVID 19 .. if u hv so much fan following (disgusting) than hopefully they wld listen to you .. #RadheTitleTrack not interested ..	OFFENSE	OFFENSE	OTHER	OFFENSE	HATE
Whatever is happening in Bengal is so disheartening to see! Being a Bong,it hurts more badly. Elections are conducted peacefully in every state except Bengal. Still can't figure out why there's always violence during polling. For God's sake,stop it! #BengalViolence #BengalBurning	OFFENSE	OTHER	OTHER	OTHER	NONE
Modi's super-spreader events went in vain.  Mamata Banerjee's Trinamool Congress is on its way to form a government in West Bengal for the third time in a row.  #IndiaCovidCrisis https://t.co/guehujzoD2	OFFENSE	OTHER	OTHER	OTHER	NONE
Blatant example of many among one double speak of Modi government. #ModiKaVaccineJumla is real Jumla for Bankers. They have been deliberately left to die. When it is work everyone becomes master of Bank but in case of welfare measures all gets mouth paralysis. Shame @DFS_India https://t.co/6VrCI5dlkA	OFFENSE	OTHER	OFFENSE	OFFENSE	HATE
Reality of Bengal, Comparing the TMC with Nazis, the BJP dubbed the govt in Bengal as fascist.   BJP-IT Cell,trying it’s best like always, spreading hate &amp; misleading, manipulating everyone. Their manipulator in chief @amitmalviya is not stopping. #CruelMamata #BengalBurning https://t.co/HJMp24Qev4	OFFENSE	OTHER	OTHER	OFFENSE	HATE
@RakeshSinha01 Really disheartening to see such people succumbing to #chinesevirus...	OTHER	OTHER	OTHER	OTHER	NONE
@narendramodi Have you no shame ? You count COVID meetings. You count election rallies. You count votes. While the country counts deaths. Ashamed to have voted for you. Ashamed to have been brainwashed like the whole country. Shame. #ResignModi #Resi	OFFENSE	OTHER	OFFENSE	OFFENSE	OFFN
@AJEnglish Shameless #Hinduphobia and #bigotry - calling Hindu religious gathering as #SuperSpreader while defending #Islamic ones as a #Islamophobia. You are not different than those who blames #tablighijamaat #Muslims #DontMixReligionWithPolitics ht	OFFENSE	OFFENSE	OFFENSE	OFFENSE	OFFN
@rocktredblood @abbyeddymom @mikecanjerk @MorpheusDeZion @wash77033 @IamWendums @Sammy5586 @briansjelks @cdhthegreat @RocketSilasEra @jtkilla_13 Iâ€™m not a fan of Capela. He talked all that smack and whimped out when the chips were down. Harden shouldâ€™	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
Indian journalists are being arrested, imprisoned, and tortured for speaking on the #COVID19 crisis in their country.Â  India's use of security, defamation, and hate speech laws to detain critical voices is a grave violation of human rights. #ResignModi https://t.co/HzTGSOEtIN	OFFENSE	OTHER	OTHER	OTHER	NONE
@ErLashe You have a fat pussy.	OFFENSE	OFFENSE	OTHER	OFFENSE	OFFN
@PrathamShashank @LibtardsKaDoc @MamataOfficial @RahulGandhi BJP is not allowed in West Bengal so tell your modi to fuck off and never come back here #ResignModi	OFFENSE	OTHER	OFFENSE	OFFENSE	OFFN
@mmpadellan @HootHoottooh Lol.  Remind me again who's buddy buddy with Epstein &amp; Weinstein?	OTHER	OTHER	OTHER	OTHER	NONE
@airnewsalerts . @TOIIndiaNews @ANI @BBCHindi @nytimes Please Stop fooling people, have been checking your pathetic portal every two hours and no slot available.. for proof view the screen shot attached.!! #ModiResign #ModiKaVaccineJumla #ModiResignOrRepe	OFFENSE	OTHER	OTHER	OFFENSE	HATE
@PatMcAfeeShow @TWooodley @jakepaul Double leg that fucker and drop hellbows	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
@imtillyherron Happy MF birthday to my fave bitch out there!! thank you for always being YOU and for showing me that I shouldnâ€™t have to worry about what others might say thank you for being my motivation, my idol who radiates nothing but positive energ	OFFENSE	OFFENSE	OTHER	OTHER	NONE
‘Trace of blood’ motherfucker if that’s a trace of hate to see what this guy makes of periods 💀	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
Young Delhi resident describes India’s COVID-19 catastrophe   “I have never been surrounded by such a huge loss of human life”  https://t.co/UNHePjRtva #IndiaNeedsOxygen  #IndiaCovidCrisis	OTHER	OTHER	OTHER	OTHER	NONE
@BSYBJP @mla_sudhakar @nimmasuresh @RAshokaBJP @narendramodi @AmitShah @ShobhaBJP @DVSadanandGowda What is your take on this. There won't be any fume without fire. Still you people want to play with the people's life? Shame on you people #Resig	OFFENSE	OTHER	OFFENSE	OFFENSE	HATE
Bloody hell that got closer than I would have liked!	OFFENSE	OTHER	OTHER	OFFENSE	PRFN
@LAVLUXX Nawww.... let me tell y’all what kinda dick this really is. This dat “ Ima Barely wet the head dick and then shove it in to wake her up dick.”	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
@Baddiel That's is ' I'm going to Shag you' look.	OFFENSE	OTHER	OTHER	OFFENSE	PRFN
@vasudevan49 @RahulGandhi One man raising his voice for the nation and fellow men pulling him down for a cold blooded murderer..u ppl r equally responsible for our nation's current crisis... Shame on u. #ResignModi	OFFENSE	OFFENSE	OFFENSE	OFFENSE	OFFN
#IndiaCovidCrisis #IndiaNeedsOxygen Shameful of BJP for not being able to manage health system even after so many weeks; they slept since the 1st pandemic despite knowing the second wave would be dangerous and oxygen is key to live/ Delhi is a death bed all over !!	OFFENSE	OTHER	OTHER	OFFENSE	HATE
@VFLBrentford_ @JxshCFCx @TheVFL_ The next day the fucker was dead https://t.co/3K6uAKjrjr	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
Very much upset to know the news of #rohitsardana. One of my favorite TV journalist who has surrendered himself in front of #ChineseVirus #COVID19 https://t.co/2imrQUHzSX	OTHER	OTHER	OTHER	OTHER	NONE
I wasn’t bothered about who won the Europa League until the Utd fans started shouting “You scouse bastard” when Moreno came on as a sub!  I wasn’t bothered about who won the Champions League until the Gallaghers opened their gobs.   It’s been a good week #football	OFFENSE	OFFENSE	OFFENSE	OFFENSE	PRFN
I would have shot myself if I was the  reason of so many deaths. #Resign_PM_Modi #ResignModi #andhbhakts https://t.co/hxkdyAQU3d	OFFENSE	OTHER	OTHER	OTHER	NONE
I think it’s wrong that we are doing TEST EVENTS when the WORLD PANDEMIC is clearly STILL going on #IndiaCovidCrisis	OTHER	OTHER	OTHER	OTHER	NONE
During the times when the whole nation is facing and fighting the pandemic. Bengal is burning. The political parties sow the seeds (of hatred) and the innocents get to reap. #stopviolence #BengalBurning	OTHER	OFFENSE	OTHER	OTHER	NONE
No strategy for vaccination. Worried how this halfwit govt shall do it.  #ModiKaVaccineJumla	OFFENSE	OTHER	OTHER	OFFENSE	HATE
@AfreenFatima136 @HayaatK58831077 To cover up your #Hinduphobia and vulturism, donâ€™t take help of #islamophobia. We have #Criminalsphobia only. Those who insult dead are with criminal behaviour. And no one cares for you fellows. Get Out	OFFENSE	OTHER	OTHER	OFFENSE	HATE
#IndiaCovidCrisis | India reports 3,68,147 #COVID19 cases in the last 24 hours  I know you guys are worried about these figures, And about your upcoming boards.Even I am.  Please use this poll to share your opinion #cancelboardexams2021 #JusticeFor12thBoard	OTHER	OTHER	OTHER	OTHER	NONE
So we already know that WlKlPEDlA, funded by George S0r0s ONLY has misinformation about INDIA aNd HINDUISM but openly showing their intent of merging #Bengal with Bangladesh? People who opposed BJP rallies in #BengalElection2021 must know how dumb they were after #BengalBurning https://t.co/u9h18M36bs	OFFENSE	OTHER	OTHER	OTHER	NONE
@ShivAroor @IndiaToday Such horrendous visuals, not sure whether they will be able to save themselves from #wuhanvirus but ironically they will certainly get themselves infected, this is how @OfficeofUT is dealing with the virus and leftists have gone gaga &amp; singing praises for MVA govt.	OTHER	OTHER	OTHER	OTHER	NONE
#CovidVaccine #COVID19 if you have been injured or family member killed by vaccine ... you must report to fda and cdc. These vaccines must never get full approval. @cnn	OTHER	OTHER	OFFENSE	OTHER	NONE
i know dat pussy soaking dripping wet lusting for the underwood now lmfao @BLONDIEx88 too bad he was jus using ur ugly fatass for his own benefit sort of the way u did me and anyone else who was foolish enough to ever open their heart and home to a whore.	OFFENSE	OFFENSE	OFFENSE	OFFENSE	PRFN
Total failure of health infrastructure,,, low economy...death of democracy #ExitModi #ResignPMmodi https://t.co/Wt8nLu9kJz	OFFENSE	OTHER	OTHER	OFFENSE	HATE
Today, our hearts break for the people of India. #WordWednesday #IndiaCovidCrisis https://t.co/jMjVappilZ	OTHER	OTHER	OTHER	OTHER	NONE
I love people that believe they 'deserve' to be addressed a certain way and that you should walk on egg shells even when they're being a jackass because I'm gonna burst the fuck outta that self-entitled bubble.	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
Day after day, whatever little this regime does gets progressively more frustrating and infuriating. This sheer level of incompetence when people literally die on the streets. You lot can't really shake off what you truly are. Murderous genocidal bigots.  #ResignPMmodi https://t.co/Mcwi1jIklI	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
I as a citizen feel ashamed of you being the PM of this country. PLEASE REALISE YOUR POWER AND SAVE PPL, YOU ARE NO MORE A CHAIWALA BUT A BLOODY PM of this country. Or just leave the status and go run a tea stall ð¡ #ResignPMmodi #ModiResign #ShameOnModi #ShameOnYou  3/3	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
#TejasviSuryaExposed #tejasvisurya #Resign_PM_Modi At these hard times while various communities are working together to save the lives of friends and dear ones , sad to see such public representatives bring discord into the beautiful fabric of democracy.	OTHER	OTHER	OTHER	OTHER	NONE
I'm saddened that our mainstream media (7, 9, 10, News Corp) has no interest in providing informed, compassionate coverage of the #IndiaCovidCrisis or shown any empathy for our Indian Australian community. The @abcnews &amp; @SBSNews coverage has been excellent. #media #COVID19India	OTHER	OTHER	OTHER	OTHER	NONE
ahhhh okay my keyboard is here oh my god I forgot just how fucking loud a damn mechanical keyboard is oh god why is it so loud and why do I type so damn fast lmao	OFFENSE	OFFENSE	OFFENSE	OFFENSE	PRFN
So how has @narendramodi thought of vaccination to rural areas ? Online registration ? Really ? Then he will have to give them network first ,then cell phones And then after few More years these people will get vaccine for sure . What a fool India has chosen to lead #ResignModi	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
@Reuters The CCP Virus came from a Lab in Wuhan, China. China is ResponsibleÂ for the Spread ofÂ Corona VirusÂ Across theÂ World.ðŸŒðŸ¦ It's a Chinese VirusðŸ¤¬ðŸ¦ Fuck You ChinaðŸ–•ðŸ‡¨ðŸ‡³ðŸ–•ðŸ˜¡ðŸ¦ #CKMKB #ChuttadChinesePartyÂ CCP #ChineseVirus	OFFENSE	OTHER	OFFENSE	OFFENSE	OFFN
@mollierose0827 Sorry but ur not worth anymore than a hooker on the side of the street	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
@Dipankar_cpiml I, also lost my father. #Resign_PM_Modi	OFFENSE	OTHER	OTHER	OTHER	NONE
Geezus you got your old age #CovidVaccine already, first I think! Now you berate renters, a gigantic swathe of younger people who canâ€™t do what you say? Ignorant &amp; boring. https://t.co/rtBnqYWRtM	OFFENSE	OTHER	OTHER	OFFENSE	HATE
@JennaHarner11 I cut my nail in half with a power saw.  Now I have two nails one finger. https://t.co/jaTRTDwzTA	OTHER	OTHER	OTHER	OTHER	NONE
WTF is happening in our country #BengalBurning #SpinlessBJP https://t.co/SU3CAT87ri	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
